location,actor,lines
INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY,THREEPIO,Did you hear that? They've shut down the main reactor. We'll be destroyed for sure. This is madness!
INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY,THREEPIO,We're doomed!
INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY,THREEPIO,There'll be no escape for the Princess this time.
INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY,THREEPIO,What's that?
INT. REBEL BLOCKADE RUNNER,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...
EXT. TATOOINE - DESERT WASTELAND - DAY,LUKE,Hurry up! Come with me! What are you waiting for?! Get in gear!
INT. REBEL BLOCKADE RUNNER,THREEPIO,"Artoo! Artoo-Detoo, where are you?"
INT. REBEL BLOCKADE RUNNER,THREEPIO,At last! Where have you been?
INT. REBEL BLOCKADE RUNNER,THREEPIO,They're heading in this direction. What are we going to do? We'll be sent to the spice mine of Kessel or smashed into who knows what!
INT. REBEL BLOCKADE RUNNER,THREEPIO,"Wait a minute, where are you going?"
INT. REBEL BLOCKADE RUNNER - CORRIDOR,IMPERIAL OFFICER,The Death Star plans are not in the main computer.
INT. REBEL BLOCKADE RUNNER - CORRIDOR,VADER,Where are those transmissions you intercepted?
INT. REBEL BLOCKADE RUNNER - CORRIDOR,VADER,What have you done with those plans?
INT. REBEL BLOCKADE RUNNER - CORRIDOR,REBEL OFFICER,We intercepted no transmissions. Aaah... This is a consular ship. Were on a diplomatic mission.
INT. REBEL BLOCKADE RUNNER - CORRIDOR,VADER,If this is a consular ship... were is the Ambassador?
INT. REBEL BLOCKADE RUNNER - CORRIDOR,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador. I want her alive!"
INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,TROOPER,There she is! Set for stun!
INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.
INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,THREEPIO,"Hey, you're not permitted in there. It's restricted. You'll be deactivated for sure.."
INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease! Now come out before somebody sees you."
INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,THREEPIO,Secret mission? What plans? What are you talking about? I'm not getting in there!
INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,THREEPIO,I'm going to regret this.
INT. IMPERIAL STARDESTROYER,CHIEF PILOT,There goes another one.
INT. IMPERIAL STARDESTROYER,CAPTAIN,Hold your fire. There are no life forms. It must have been short-circuited.
INT. LIFEPOD,THREEPIO,"That's funny, the damage doesn't look as bad from out here."
INT. LIFEPOD,THREEPIO,Are you sure this things safe?
EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,WOMAN,I've told you kids to slow down!
INT. POWER STATION - DAY,FIXER,Did I hear a young noise blast through here?
INT. POWER STATION - DAY,CAMIE,It was just wormie on another rampage.
INT. POWER STATION - DAY,LUKE,Shape it up you guys!... Biggs?
INT. POWER STATION - DAY,LUKE,I didn't know you were back! When did you get in?
INT. POWER STATION - DAY,BIGGS,"Just now. I wanted to surprise you, hot shot. I thought you'd be here... certainly didn't expect you to be out working.(he laughs)"
INT. POWER STATION - DAY,LUKE,"The Academy didn't change you much...but you're back so soon? Hey, what happened, didn't you get your commission?"
