,location,location_counter,actor,line,neg,neu,pos,compound
0,INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY,0,THREEPIO,Did you hear that? They've shut down the main reactor. We'll be destroyed for sure. This is madness!,0.27,0.633,0.097,-0.6239
1,INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY,0,THREEPIO,We're doomed!,0.818,0.182,0.0,-0.6696
2,INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY,0,THREEPIO,There'll be no escape for the Princess this time.,0.202,0.642,0.156,-0.128
3,INT. REBEL BLOCKADE RUNNER - MAIN PASSAGEWAY,0,THREEPIO,What's that?,0.0,1.0,0.0,0.0
4,INT. REBEL BLOCKADE RUNNER,2,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,0.0,0.659,0.341,0.7351
5,EXT. TATOOINE - DESERT WASTELAND - DAY,3,LUKE,Hurry up! Come with me! What are you waiting for?! Get in gear!,0.0,1.0,0.0,0.0
6,INT. REBEL BLOCKADE RUNNER,5,THREEPIO,"Artoo! Artoo-Detoo, where are you?",0.0,1.0,0.0,0.0
7,INT. REBEL BLOCKADE RUNNER,5,THREEPIO,At last! Where have you been?,0.0,1.0,0.0,0.0
8,INT. REBEL BLOCKADE RUNNER,5,THREEPIO,They're heading in this direction. What are we going to do? We'll be sent to the spice mine of Kessel or smashed into who knows what!,0.0,1.0,0.0,0.0
9,INT. REBEL BLOCKADE RUNNER,5,THREEPIO,"Wait a minute, where are you going?",0.0,1.0,0.0,0.0
10,INT. REBEL BLOCKADE RUNNER - CORRIDOR,6,IMPERIAL OFFICER,The Death Star plans are not in the main computer.,0.302,0.698,0.0,-0.5994
11,INT. REBEL BLOCKADE RUNNER - CORRIDOR,6,VADER,Where are those transmissions you intercepted?,0.0,1.0,0.0,0.0
12,INT. REBEL BLOCKADE RUNNER - CORRIDOR,6,VADER,What have you done with those plans?,0.0,1.0,0.0,0.0
13,INT. REBEL BLOCKADE RUNNER - CORRIDOR,6,REBEL OFFICER,We intercepted no transmissions. Aaah... This is a consular ship. Were on a diplomatic mission.,0.155,0.845,0.0,-0.296
14,INT. REBEL BLOCKADE RUNNER - CORRIDOR,6,VADER,If this is a consular ship... were is the Ambassador?,0.0,1.0,0.0,0.0
15,INT. REBEL BLOCKADE RUNNER - CORRIDOR,6,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador. I want her alive!",0.0,0.792,0.208,0.4926
16,INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,7,TROOPER,There she is! Set for stun!,0.0,1.0,0.0,0.0
17,INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,7,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.,0.28,0.72,0.0,-0.5423
18,INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,7,THREEPIO,"Hey, you're not permitted in there. It's restricted. You'll be deactivated for sure..",0.178,0.822,0.0,-0.3818
19,INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,7,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease! Now come out before somebody sees you.",0.138,0.743,0.119,-0.0992
20,INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,7,THREEPIO,Secret mission? What plans? What are you talking about? I'm not getting in there!,0.0,1.0,0.0,0.0
21,INT. REBEL BLOCKADE RUNNER - SUBHALLWAY,7,THREEPIO,I'm going to regret this.,0.412,0.588,0.0,-0.4215
22,INT. IMPERIAL STARDESTROYER,8,CHIEF PILOT,There goes another one.,0.0,1.0,0.0,0.0
23,INT. IMPERIAL STARDESTROYER,8,CAPTAIN,Hold your fire. There are no life forms. It must have been short-circuited.,0.295,0.705,0.0,-0.5574
24,INT. LIFEPOD,9,THREEPIO,"That's funny, the damage doesn't look as bad from out here.",0.189,0.472,0.339,0.3716
25,INT. LIFEPOD,9,THREEPIO,Are you sure this things safe?,0.0,0.435,0.565,0.6369
26,EXT. TATOOINE - ANCHORHEAD SETTLEMENT - POWER STATION - DAY,10,WOMAN,I've told you kids to slow down!,0.0,1.0,0.0,0.0
27,INT. POWER STATION - DAY,11,FIXER,Did I hear a young noise blast through here?,0.0,1.0,0.0,0.0
28,INT. POWER STATION - DAY,11,CAMIE,It was just wormie on another rampage.,0.0,1.0,0.0,0.0
29,INT. POWER STATION - DAY,11,LUKE,Shape it up you guys!... Biggs?,0.0,1.0,0.0,0.0
30,INT. POWER STATION - DAY,11,LUKE,I didn't know you were back! When did you get in?,0.0,1.0,0.0,0.0
31,INT. POWER STATION - DAY,11,BIGGS,"Just now. I wanted to surprise you, hot shot. I thought you'd be here... certainly didn't expect you to be out working.(he laughs)",0.0,0.809,0.191,0.5423
32,INT. POWER STATION - DAY,11,LUKE,"The Academy didn't change you much...but you're back so soon? Hey, what happened, didn't you get your commission?",0.0,1.0,0.0,0.0
33,INT. POWER STATION - DAY,11,BIGGS,Of course I got it. Signed aboard The Rand Ecliptic last week. First mate Biggs Darklighter at your service...(he salutes)...I just came to say good-bye to all you unfortunate landlocked simpletons.,0.093,0.872,0.034,-0.4404
34,INT. POWER STATION - DAY,11,LUKE,I almost forgot. There's a battle going on! Right here in our system. Come and look!,0.183,0.817,0.0,-0.4442
35,INT. POWER STATION - DAY,11,DEAK,Not again! Forget it.,0.422,0.578,0.0,-0.2942
